Link Road,Detector_Name,Id,Name,Description,Longitude,Latitude,Status,Direction
M4 J2-3,M4/2168B,455,MIDAS site at M4/2168B priority 1 on link 125039801; GPS Ref: 515030;178698; Eastbound,M4/2168B,-0.344340809,51.49553144,Active,Eastbound
M4 J2-3,M4/2173B,5102,MIDAS site at M4/2173B priority 5 on link 125039801; GPS Ref: 514507;178620; Eastbound,M4/2173B,-0.351896769,51.49493644,Active,Eastbound
M4 J2-3,M4/2178B,1109,MIDAS site at M4/2178B priority 1 on link 125039801; GPS Ref: 514036;178415; Eastbound,M4/2178B,-0.358744807,51.493189,Active,Eastbound
M4 J2-3,M4/2183B,5408,MIDAS site at M4/2183B priority 2 on link 125039801; GPS Ref: 513606;178141; Eastbound,M4/2183B,-0.365024184,51.49081275,Active,Eastbound
M4 J2-3,M4/2188B,110,MIDAS site at M4/2188B priority 1 on link 125039801; GPS Ref: 513275;178026; Eastbound,M4/2188B,-0.369826644,51.48984546,Active,Eastbound
M4 J2-3,M4/2193B,5146,MIDAS site at M4/2193B priority 3 on link 125039801; GPS Ref: 512881;177942; Eastbound,M4/2193B,-0.375526003,51.48916922,Active,Eastbound
M4 J2-3,M4/2197B,3138,MIDAS site at M4/2197B priority 4 on link 125039801; GPS Ref: 512499;177838; Eastbound,M4/2197B,-0.381058794,51.48831058,Active,Eastbound
M4 J2-3,M4/2200B,4324,MIDAS site at M4/2200B priority 1 on link 123012201; GPS Ref: 512218;177788; Eastbound,M4/2200B,-0.385120183,51.48791701,Active,Eastbound
M4 J2-3,M4/2206B,1240,MIDAS site at M4/2206B priority 2 on link 123012201; GPS Ref: 511747;177817; Eastbound,M4/2206B,-0.391891976,51.48827087,Active,Eastbound
M4 J2-3,M4/2210B,2243,MIDAS site at M4/2210B priority 1 on link 123012101; GPS Ref: 511261;177987; Eastbound,M4/2210B,-0.398835503,51.4898946,Active,Eastbound
M4 J3-4,M4/2233A,5175,MIDAS site at M4/2233A priority 1 on link 199127301; GPS Ref: 509044;178359; Westbound,M4/2233A,-0.430640747,51.49367002,Active,Westbound
M4 J3-4,M4/2240A,1138,MIDAS site at M4/2240A priority 1 on link 199127301; GPS Ref: 508641;178399; Westbound,M4/2240A,-0.43643119,51.49410716,Active,Westbound
M4 J3-4,M4/2233B,3301,MIDAS site at M4/2233B priority 1 on link 199128901; GPS Ref: 509047;178376; Eastbound,M4/2233B,-0.430592305,51.49382224,Active,Eastbound
M4 J3-4,M4/2240B,2806,MIDAS site at M4/2240B priority 1 on link 199128901; GPS Ref: 508641;178417; Eastbound,M4/2240B,-0.436425654,51.49426895,Active,Eastbound
M4 J4-4b,M4/2259A,1017,MIDAS site at M4/2259A priority 1 on link 199000301; GPS Ref: 506348;178430; Westbound,M4/2259A,-0.469439009,51.49482157,Active,Westbound
M4 J4-4b,M4/2264A,3452,MIDAS site at M4/2264A priority 1 on link 199000301; GPS Ref: 505851;178368; Westbound,M4/2264A,-0.476614255,51.4943575,Active,Westbound
M4 J4b-5,M4/2288A,4389,MIDAS site at M4/2288A priority 3 on link 105009001; GPS Ref: 503517;178208; Westbound,M4/2288A,-0.510270364,51.49335116,Active,Westbound
M4 J4b-5,M4/2291A,2546,MIDAS site at M4/2291A priority 1 on link 105009001; GPS Ref: 503226;178162; Westbound,M4/2291A,-0.514474061,51.49299084,Active,Westbound
M4 J4b-5,M4/2295A,4904,MIDAS site at M4/2295A priority 1 on link 105009001; GPS Ref: 502821;178156; Westbound,M4/2295A,-0.520307561,51.49301063,Active,Westbound
M4 J4b-5,M4/2295A6,2302,MIDAS site at M4/2295A6 priority 1 on link 105009001; GPS Ref: 502816;178156; Westbound,M4/2295A6,-0.520379558,51.49301154,Active,Westbound
M4 J4b-5,M4/2295A4,3149,MIDAS site at M4/2295A4 priority 1 on link 105009001; GPS Ref: 502816;178156; Westbound,M4/2295A4,-0.520379558,51.49301154,Active,Westbound
M4 J4b-5,M4/2298A,1985,MIDAS site at M4/2298A priority 2 on link 105009001; GPS Ref: 502520;178160; Westbound,M4/2298A,-0.524640626,51.49310119,Active,Westbound
